year,month,day,statefips,case_count,death_count,test_count,case_rate,death_rate,test_rate,new_positives_rate,new_case_rate,new_death_rate,new_test_rate,new_case_count,new_death_count,new_test_count,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,21,53,1,0,.,.0131,0,.,.,.,.,.,.,.,.,.00642,-.0343,.00906,.00506,.00619,.00303,.01,.0125
2020,1,21,54,0,0,.,0,0,.,.,.,.,.,.,.,.,.00512,.0108,.00323,-.00266,.00194,.00435,-.00107,.0127
2020,1,21,55,0,0,.,0,0,.,.,.,.,.,.,.,.,.00322,.0087,.00156,-.000487,.0035,.00442,.0012,.00562
2020,1,21,56,0,0,.,0,0,.,.,.,.,.,.,.,.,.00528,.00171,.00348,.,-.00356,-.00624,.0048,-.00511
2020,1,21,6,0,0,.,0,0,.,.,.,.,.,.,.,.,.00355,-.00709,.00599,.00301,.00201,.00354,.00596,.00107
2020,1,21,8,0,0,.,0,0,.,.,.,.,.,.,.,.,.00311,.00359,.00445,.000754,.00419,.00402,.00168,.00395
2020,1,21,9,0,0,.,0,0,.,.,.,.,.,.,.,.,.00191,.00552,.00237,-.00137,.00101,.00517,.00165,.00165
2020,1,22,1,0,0,.,0,0,.,.,.,.,.,.,.,.,.00151,.000932,.00583,-.0074,.0000806,.00193,.00316,.00191
2020,1,22,10,0,0,.,0,0,.,.,.,.,.,.,.,.,.00152,.00309,.00114,.000711,-.000187,.00179,-.00406,.00419
2020,1,22,11,0,0,.,0,0,.,.,.,.,.,.,.,.,.00325,.00133,.00524,.0016,-.000229,.00252,.00863,-.00039
2020,1,22,12,0,0,.,0,0,.,.,.,.,.,.,.,.,.0041,.00587,.00533,-.000923,.00562,.00406,.00501,.00176
2020,1,22,13,0,0,.,0,0,.,.,.,.,.,.,.,.,.00215,.00399,.00297,-.00156,.00173,.000268,.0044,.0013
2020,1,22,15,0,0,.,0,0,.,.,.,.,.,.,.,.,.013,.00897,.0124,.,.00441,.0164,.00259,.00073
2020,1,22,16,0,0,.,0,0,.,.,.,.,.,.,.,.,.00479,.00377,.00517,.00557,.00303,-.000411,.0145,.0152
2020,1,22,17,0,0,.,0,0,.,.,.,.,.,.,.,.,.0026,.0024,.00367,.001,.00319,.00564,.00389,-.00304
2020,1,22,18,0,0,.,0,0,.,.,.,.,.,.,.,.,.00421,.00243,.00727,-.000868,.00296,.00312,.00739,.00314
2020,1,22,19,0,0,.,0,0,.,.,.,.,.,.,.,.,.00467,.00653,.005,.00118,.00499,.0132,-.00206,.00182
2020,1,22,2,0,0,.,0,0,.,.,.,.,.,.,.,.,-.00283,-.00682,-.00685,.00704,-.00923,-.0585,.00517,-.00161
2020,1,22,20,0,0,.,0,0,.,.,.,.,.,.,.,.,.00161,.00771,-.00143,.00175,-.00103,.00831,.00338,.000713
2020,1,22,21,0,0,.,0,0,.,.,.,.,.,.,.,.,.0023,.00261,.00211,.00218,-.00132,.00322,.00294,.00678
2020,1,22,22,0,0,.,0,0,.,.,.,.,.,.,.,.,.00313,.00436,.00373,-.000638,-.00154,-.00136,.00626,.00491
2020,1,22,23,0,0,.,0,0,.,.,.,.,.,.,.,.,.00248,.00873,.0025,-.00625,.00151,.00285,.00265,.000565
2020,1,22,24,0,0,.,0,0,.,.,.,.,.,.,.,.,.00204,.00623,.000941,.000792,-.0007,.0037,.00276,.000579
2020,1,22,25,0,0,0,0,0,0,.,.,.,.,.,.,.,.00276,-.000712,.0046,.0014,.00158,.0031,.003,.00447
2020,1,22,26,0,0,.,0,0,.,.,.,.,.,.,.,.,.00458,.00952,.00344,.00103,.00209,.00506,.00609,.00426
